course_code,description,enrollment_requirements,crse_id,class_nbr,term
ARCH 5500,"Topical offerings in architecture. For a one-page course description and recommended baseline academic experience, please be in touch with the faculty member or academic advisor. ",,001621,10246,1268
ARCH 5501,Topical offerings in architecture.,,041455,,
ARCH 5510,J Term Courses,,001628,,
ARCH 5580,Topical offerings in Architecture.,,048267,,
ARCH 5590,Affords students opportunities to participate in specific faculty's advance research projects.,,001659,,
ARCH 5605,This class will introduce students to understand the city scale and landscape design in terms of materiality. The students will learn how to use the materials to resolve urban and landscape issues.,,044589,,
ARCH 5608,"The course will combine field analysis, precedent study, and collaborative design proposals into contemporary Chinese architecture and urban form. Focused readings will supplement the design investigation.",,041447,,
ARCH 5612,"This course contextualizes contemporary design practices in architecture, landscape, and urbanism across a wide variety of geographies and scales; showcasing the role of the designer in inscribing the earth. Graduate course will have additional course requirements",,044256,,
ARCH 5614,"Worldwide urbanization processes will increase in the next years reaching a rate of 75% until the middle of the century. Shrinkage, stagnation and rapid growth will be simultaneous phenomena and to achieve urban sustainability it will be important to innovate analytical methods and urban design frameworks. Discussions, lectures, and readings in combination with an urban design group project will introduce students to contemporary urban design methodologies.",,045420,10247,1268
ARCH 5712,"This course is about drawing as a necessary component of design. It is conducted as a studio course dedicated to hand drawing skills, particularly as they relate to architectural studies. Classes are held one day each week and consist of drawing exercises. Grades are determined by a submitted portfolio.",,046823,,
ARCH 5715,"This seminar is about architectural design. Approximately twenty-five lecture/discussions span various aspects of design beginning with principles and including topics such as multiple ideas, multiple studies, abstraction, proportion and composition. Final topics include practical and esthetic considerations of design and materials. A class notebook is required for lecture notes and assignments of writings and drawings.",,045503,10080,1262
ARCH 5717,"This course introduces contemporary cartographic and data visualization techniques as design tools for the strategic development of critical, theoretical, and experimental frameworks for architecture, urbanism, and intermedia design practices.",,045875,,
ARCH 5780,"In this course we make paintings and mixed media projects. We stress the process rather then the artistic product and, like artist Sol LeWitt, define painting 'as an activity on a flat plane.' We make plane (and plain) images: configurations of relatively stable, still marks on two-dimensional surfaces. We use traditional methods (watercolor or ink on paper, acrylics on canvas) as well as more unusual tools and materials (sidewalk chalk, earth, trash, recycled materials). Through weekly readings and discussions we explore the relationship between aesthetics and ethics between 'good forms' and forms that in some way contribute or allude to the 'common good.'",,001626,,
ARCH 5784,"This course grows from the idea that excellence and innovation in all the arts come from constant practice. Students will commit to making an iteration of a creative project of their choosing every day for 100 days. In class we will evaluate ongoing work and discuss the role of discipline, routine, and iteration in the creative process. Students will be expected to post their work every day on Instagram.",,048278,19564,1262
ARCH 5800,"Summer study abroad in Vicenza, Italy. Students will be introduced to Italian culture through the study of architecture, landscape architecture, and city planning. Both the formal ideals as well as the constructed reality of these three subjects will be studied through critical observation and documentation of universal conditions and critical junctures.",,001569,,
ARCH 5801,"Vicenza Program II will be taught in the summer study abroad program in Vicenza, Italy. Students will continue to be introduced to Italian culture through the study of architecture, landscape architecture, and city planning.",,045372,,
ARCH 5993,Independent research on topics selected by individual students in consultation with a faculty advisor,,001665,10112,1268
ARCH 6010,Introductory design problems in architecture for  First Professional degree students.  Emphasizes developing a systemic approach to design on the land and in the city through experience with a constructional kit of parts and an awareness of the role of architectural theory and history in the design process. The faculty reviews all work in ARCH 6010-6020 to determine the progress and potential of each student.,Graduate Architecture,001668,10120,1268
ARCH 6011,"This course introduces a range of design methodologies and techniques necessary for developing projects within the ARCH 6010 Foundation Studio I. Emphasis is on connecting thinking to making with topics on sketching, analytical diagramming, orthographic drawing, rapid physical modeling, presentation physical modeling, and digital workflows for iterative design.",Graduate Architecture,048033,10308,1268
ARCH 6020,"The second graduate foundation studio develops spatial, programmatic, tectonic relationships through the design of a civic, urban institution. Students utilize architectural design as a form of analysis and exploration. Primary modes of architectural design include physical model-making at multiple scales, analytical drawings in plan and section, the study of material tectonic precedents, and the visual and verbal articulation of an argument.",Graduate Architecture,001669,10031,1262
ARCH 6021,"This course introduces a range of design methodologies and techniques necessary for developing projects within the ARCH 6020 Foundation Studio II. Emphasis is on connecting thinking to making with topics on site analysis, material experimentation, innovation through prototype fabrication, digital simulation, and constructive sections.",ARCH-MAR students in Path 3 or Path 2.5,048034,19465,1262
ARCH 6101,"This is a foundational course introducing the field of architecture and urbanism as it has been historically constructed; it investigates the formulation of canons, contrarian practices, and narratives that frame discourses and practices today. The objectives are to understand the genealogies of the modern tradition, establish a knowledge of the disciplinary milestones, and to articulate critical theoretical frameworks.",Graduate Architecture,048067,10315,1268
ARCH 6120,"Investigates the role that ideas play in the conception, making, and interpretation of buildings and cities, and assists students in clarifying their own values and intentions as designers. Lectures cover a broad range of topics, with special emphasis placed on contemporary issues.",ARCH-MAR students in Path 3 or Path 2.5,001672,10062,1262
ARCH 6231,"The Building Workshop I addresses building science and technology topics that influence the built environment for safe and healthy human occupation. BIW 1 focuses on the dimension and performance of basic elements of construction, analyzed through a variety of historical, typological, and geographic precedents.",,040965,,
ARCH 6260,"This course offers a panoramic view of today¿s construction systems¿from foundation to roof. All common systems of construction will be covered including light frame wood construction, heavy timber, masonry, steel, site-cast concrete, and precast concrete. Lectures and readings address the history, theory, and practice of each type of construction including typical and innovative details of assembly. Graduate version has additional requirements.",ARCH-MAR students in Path 3 or Path 2.5,001676,19463,1262
ARCH 6261,"The Building Workshop II addresses building science and technology topics that influence the built environment for safe and healthy human occupation. BIW 2 focuses on tactile material practices and innovation through prototype fabrication, digital simulation, and physical performance testing.",,040966,,
ARCH 6262,"Students will attend 6 of the School of Architecture public lecture series and exchange feedback on architectural career paths and architecture's role in cultural, social, environmental, and economic contexts.",,046470,,
ARCH 6264,"Students will attend 6 of the School of Architecture public lecture series and exchange feedback on architectural career paths and architecture's role in cultural, social, environmental, and economic contexts. ARCH 6264 must be taken after ARCH 6262.",,046613,,
ARCH 6500,"Topical offerings in architecture. For a one-page course description and recommended baseline academic experience, please be in touch with the faculty member or academic advisor. ",,039125,20899,1262
ARCH 6711,"This course introduces a range of conceptual frameworks & techniques that embrace the highly generative agency of narrative and representational media in the architectural design process. Theoretical perspectives, grounded in architecture, situate student learning activities to iterate between different representational techniques, utilizing both analog & digital technologies, skills, & workflows to support a critical & creative design practice.",Graduate Architecture,048035,10309,1268
ARCH 7010,"Intermediate-level design problems, emphasizing analysis and synthesis of complex contextual, cultural, and constructional issues. Prerequisite: ARCH 6020 or chair permission.",Graduate in Architecture and Landscape Architecture,001680,10160,1268
ARCH 7020,"Intermediate-level design problems, emphasizing structure, enclosure, life safety and building systems. Prerequisite: ARCH 7010",Graduate Architecture,042373,10044,1262
ARCH 7100,"This course introduces research methodologies within design and related disciplines. Students gather the appropriate resources and practice applying them to contextualize aspects of the built environment, learning techniques for conducting research and appropriate application of various methods. Students also utilize design processes to develop and refine research questions.",Graduate Architecture,045147,10150,1262
ARCH 7120,"This course will investigate the role that ideas play in the conception, making and interpretation of buildings. As a basis for this inquiry, the course will explore significant architectural and urban theories, design strategies, and architectural projects developed primarily from the beginning of the 20th century to the present. Lectures will cover a broad range of theoretical positions that have influenced or emerged from form making.",Graduate Architecture,001688,10164,1268
ARCH 7210,This graduate-level course introduces novel workflows for the design of structurally informed architecture using emerging methods in computational structural analysis and parametric design. Students will build upon their understanding of conventional material mechanics and structural analysis to design materially-efficient structures that combine architectural intent with an understanding of how structural action can be manipulated.,Graduate Architecture,001691,10086,1262
ARCH 7230,"The Building Integration Workshop Series addresses building science and technology topics that influence the built environment for safe and healthy human occupation. BIW III focuses on the synthesis of building structure, construction, energy use, and ethical considerations. Students develop a complete architectural project, critical building sections, and construction details using Building Information Modeling and other tools.",Graduate Architecture,001692,10015,1262
ARCH 7240,"A graduate-level introduction to structural design that uses mathematic and geometric principals to inform design tools and methods based upon an understanding of material and structural behavior. The course covers statics, material mechanics, computational analysis and design, and the behavior of structural systems through a framework involving ethics, climate, and culture.",Graduate Architecture,045085,10163,1268
ARCH 7250,"The course involves the study of human comfort, environmental conditioning systems, building systems, daylighting and lighting technology. Students will be exposed to digital simulation tools to assess daylighting and energy use.",Graduate Architecture,001693,10159,1268
ARCH 7500,"Topical offerings in architecture. For a one-page course description and recommended baseline academic experience, please be in touch with the faculty member or academic advisor. ",,001697,,
ARCH 7993,Independent Study Prerequisite: Permission of the chair.,,001706,10125,1268
ARCH 8480,"Introduces the primary issues involved in the practice of architecture: professional ethics, business practices, project process and management, personnel management, management of the process of producing a building, and the methods available to do so.",Graduate Architecture,001732,10049,1262
ARCH 8500,"Topical offerings in architecture. For a one-page course description and recommended baseline academic experience, please be in touch with the faculty member or academic advisor. ",,001715,,
ARCH 8999,Advanced independent research on topics selected by individual students in consultation with a faculty advisor Prerequisite: Permission of the chair.,,001752,10016,1262
ARCY 3993,An Independent Study in Archaeology. Subject to be determined by student and instructor.,,043518,12067,1268
ARCY 4998,"Research for a thesis of approximately 50 written pages undertaken in the fall semester of the fourth year by archaeology majors who have been accepted into the Interdisciplinary Archaeology Distinguished Majors Program. 
Prerequisite: acceptance into Archaeology DMP",,042540,11878,1268
ARCY 4999,"Writing of a thesis of approximately 50 written pages undertaken in the spring semester of the fourth year by archaeology majors who have been accepted into the Interdisciplinary Archaeology Distinguished Majors Program.
Prerequisite: acceptence into DMP program",,042539,13302,1262
ARH 1004,Surveys architecture from the Ancient to the present.,,001852,,
ARH 1010,"We will explore how architecture affects us, as well as how it informs us about past societies. In what ways does architecture shape our experiences; how does it enhance or detract from human activities? This course will cover material from the pre-historic period through c. 1420 largely in Europe with some examples from Asia, Africa and the Americas. Classes will be a combination of lectures and in-class activities.",,001844,10100,1268
ARH 1020,"This course will examine architecture and urbanism from around 1400 C.E. to the present, tracing connections and distinctions that have guided the design, uses, and meanings of built environments around the globe. You will be introduced to celebrated buildings and less well-known sites and cities, with particular attention to the aesthetic, social, cultural, and institutional situations in which they developed.",,001845,10004,1262
ARH 2300,,,048490,20434,1268
ARH 2500,Topical offerings in architectural history.,,039127,20373,1268
ARH 2700,"Thomas Jefferson architecture was an art that encompassed more than simply shelter but embodied cultural and political values. This course will focus on his architectural and other designs (gardens, interiors, towns, campuses) and his interest in the arts. Course may include field trips.",,044826,,
ARH 2702,"Public Humanities and Cultural Change introduces undergraduate students to the power of place and story in the shaping of the American imagination. The multi-disciplinary course centers 1) engaging complex pasts, 2) place-based and community-based methodologies, 3) the inherently political nature of public humanities, and 4) impactful public engagement, especially across difference.",,047437,10160,1262
ARH 2753,"This interdisciplinary course covers the American South to the Civil War. While the course centers on the visual arts, architecture, material culture, decorative arts, painting, and sculpture; it is not designed as a regional history of art, but an exploration of the interrelations between history, material and visual cultures, foodways, music and literature in the formation of Southern identities. Course may include field trips.",,040235,,
ARH 3003,Vernacular Architecture is the architecture of the everyday. This class uses archival evidence to recover the context and meanings of everyday buildings.,,045461,,
ARH 3006,"We will critically assess the role of digital humanities in art and architectural history through an analysis of extant digital projects, discussions of ethical concerns, and data visualizations as well as a wide range of available tools such as GIS, Storymap, view-shed analysis, & 3D visualizations.We will consider best practices in digital site development employing a design thinking process.",,046057,,
ARH 3060,"The Asian-African conference in 1955, known as the Bandung Conference, imagined a movement of newly independent nations of Asia & Africa, joining mutual solidarity to support the development & cultural as well as political independence. In this seminar, students will study the history of the Bandung project, the notion of freedom, liberation, independence, & sovereignty, as well as the material culture & built environment. Grad version has additional requirements.",,048248,19144,1262
ARH 3403,"As the construction of cities redistributes its activities across the world in the twenty-first century, this course considers the ways in which architecture and architects are changed by a complex shifting field of forces. These forces include critical and ethical discourses, digital media, global finance and trade, developments in materials science, environmental awareness, and geo-political strategies.","3rd year, Arch Majors",042192,19134,1262
ARH 3500,Topical offerings in architectural history.,,001883,10278,1268
ARH 3591,"The Architectural History Colloquium combines lecture and discussion. Subject varies with the instructor, who may decide to focus attention either on a particular period, artist, or theme, or on the broader question of the aims and methods of architectural history. Subject is announced prior to each registration period. Enrollment is capped at 20.",,042689,,
ARH 3604,"This class is a field-based seminar on methods of analyzing and recording historic buildings, especially vernacular buildings and landscapes. Students will be introduced to intensive building analysis geared to understanding change over time. Students will also learn methods of careful field recording for both documentation and analysis. Graduate students will undertake additional course requirements. Course may include site visits.",,001902,10098,1262
ARH 3608,"This seminar surveys preservation from its historical beginnings through contemporary emerging trends, focusing on the changing nature of its ideals and practice in a critical and international perspective. We will explore the role of historic preservation and heritage in cultural politics, historical interpretation, urban development, and planning and design practice.",,045407,10290,1268
ARH 3618,"Combining seminar discussions, shop exercises and laboratory exercises, this course explores the material culture of architecture from the perspective of materials science. Material culture is the physical stuff that is part of human life, and includes everything humans make and use including materials we use to shape the environment.",,045409,10232,1268
ARH 3620,"A cultural landscape tells the story of interactions between a natural landscape and cultural groups. In this course we'll focus on the history and development of the Virginia cultural landscape in the regional South, as well as its connections throughout North America and the Atlantic World.",,046053,,
ARH 3701,American architecture from the first European contact to the death of Jefferson. Lectures and field trips.,,001898,,
ARH 4500,Topical offerings in architectural history.,,039128,,
ARH 4510,"January Term courses provide students with unique opportunities: new courses that address topics of current interest, study abroad programs, undergraduate research seminars, and interdisciplinary courses. The intensive format of ""J-term"" classes encourages extensive student-faculty contact and allows students and faculty to immerse themselves in a particular subject.",,038699,,
ARH 4591,Research seminar in select topics in architectural history.,,001917,20370,1268
ARH 4993,Advanced work on independent research topics by individual students.,,001915,10274,1268
ARH 4999,Advanced independent research projects by fourth year architectural history students. Prerequisite: Instructor approval and departmental approval of topic.,,001916,10109,1268
ARH 5201,"This course examines the art and architecture of Venice from the fifth century until the seventeenth century. We consider the major ""nuclei"" of the city like Piazza San Marco and personalities that shaped the built and artistic environment -- Codussi, Sansovino, Palladio, & Titian for example. Our study explores the factors that contributed to Venetian art such as political and social context and contact with Byzantine, Islamic and northern Europe.",,043368,10237,1268
ARH 5500,Special topics pursued in a colloquium.,,037378,,
ARH 5580,Topical offerings in Architectural History.,,048268,,
ARH 5600,Internship at World Heritage Site; Monticello or the University of Virginia. Some projects have a digital component. Graduate course will have additional course requirements. Course may include site visits.,,044157,10184,1268
ARH 5612,Continuation of Internship in historic preservation/architectural history. 6-8 hours weekly. Course may include site visits. Graduate students will undertake additional course requirements.,,045792,10228,1268
ARH 5613,"Gaudi is one of the best known Catalan architects from Barcelona. He is famous for his buildings and his furniture, but he is not known as an urban designer. This class will introduce the students to understanding the city scale in terms of Materiality. It will be apparent by looking at Gaudi's work how important it is to understand the laws of construction and framework for creating a good design.",,044590,,
ARH 5993,Advanced work on independent research topics by individual students. Departmental approval of the topic is required.,,001979,10145,1268
ARH 6011,"A seminar exploring how racialized inequalities have shaped American cities North & South,past & present,and the influence of racialized urban structures on the idea & experience of race in America. Topics include the effects of segregation,redlining,urban planning,redevelopment,white flight,ghettoization & neoliberal development on the form & culture of American cities & structures of inequality in the US. Graduate level will have additional req.",,046359,,
ARH 6811,"This class explores the wide range of approaches that have been taken to the complex relationships between body, sex, gender, and the built environment. Some see buildings as a direct expression of sexed bodies (phallic towers and breast-like domes), while others see buildings and settlements as expressions and reiterations of the gender structures of a culture.",,046358,,
ARH 7010,"This course will introduce students to the tools of visual analysis, reading architectural drawings and the study of architecture as a part of the larger cultural, social and political context of its society. While the course will focus on Western Europe, it will also include topics from the eastern Mediterranean and Asia.",,001983,,
ARH 7020,"This course will examine architecture and urbanism from around 1400 C.E. to the present, tracing connections and distinctions that have guided the design, uses, and meanings of built environments around the globe. You will be introduced to celebrated buildings and less well-known sites and cities, with particular attention to the aesthetic, social, cultural, and institutional situations in which they developed.",,001984,,
ARH 7040,"This lecture course focuses on cities as centers of cultural, social, and artistic activity. It considers how we define cities, the forces that create and sustain them, and what makes them culturally distinctive. It looks at several cities at their moments of cultural, political, and architectural glory: Istanbul in the 16thcentury, London in the late 17th and 18th centuries, Paris in the 19th century, New York in the 20th century, and Shanghai in the 21st century.",,044380,,
ARH 7403,"As the construction of cities redistributes its activities across the world in the twenty-first century, this course considers the ways in which architecture and architects are changed by a complex shifting field of forces. These forces include critical and ethical discourses, digital media, global finance and trade, developments in materials science, environmental awareness, and geo-political strategies.",,042193,,
ARH 7500,Topical offerings in architectural history.,,002005,10133,1262
ARH 7620,"A cultural landscape tells the story of interactions between a natural landscape and cultural groups. In this course we'll focus on the history and development of the Virginia cultural landscape in the regional South, as well as its connections throughout North America and the Atlantic World. The graduate course will have additional course requirements.",,046054,,
ARH 7700,"Thomas Jefferson, architecture was an art that encompassed more than simply shelter but embodied cultural and political values. This course will focus on his architectural and other designs (gardens, interiors, towns, campuses) and his interest in the arts. Graduate students will undertake additional course requirements. Course may include field trips.",,044827,,
ARH 7701,"A survey of American architecture from the first European contact to 1800 including Jefferson, urban form and landscape design.",,002025,,
ARH 7993,Independent research on topics selected by individual students in consultation with a faculty advisor.,,002033,10121,1268
ARH 8001,"Required for candidates for the degree of Master of Architectural History. An investigation of the nature of architectural history, materials, methods, and writings.",,002034,10115,1268
ARH 8003,Vernacular Architecture is the architecture of the everyday. This class uses archival evidence to recover the context and meanings of everyday buildings. Graduate course will have additional course requirements,,045460,,
ARH 8005,"This course introduces the critical practice of curating exhibitions for the public realm. It scrutinizes influential exhibitions in historical contexts to understand their impact on society and on the design professions, especially in setting new agendas. During the semester, students will research, curate and mount an exhibition at the School of Architecture based on a given archive and theme.",,045795,,
ARH 8006,"We will critically assess the role of digital humanities in art and architectural history through an analysis of extant digital projects, discussions of ethical concerns, and data visualizations as well as a wide range of available tools such as GIS, Storymap, view-shed analysis, and 3D visualizations. We will consider best practices in digital site development employing a design thinking process. Graduate course will have additional course requirements.",,046055,,
ARH 8060,"The Asian-African conference in 1955, known as the Bandung Conference, imagined a movement of newly independent nations of Asia & Africa, joining mutual solidarity to support the development & cultural as well as political independence. In this seminar, students will study the history of the Bandung project, the notion of freedom, liberation, independence, & sovereignty, as well as the material culture & built environment. Grad version has additional requirements.",,048249,19145,1262
ARH 8500,Topical offerings in architectural history.,,002041,10279,1268
ARH 8540,Special research topics pursued in a seminar.,,045031,,
ARH 8601,"This seminar surveys preservation from its historical beginnings through contemporary emerging trends, focusing on the changing nature of its ideals and practice in a critical and international perspective.We will explore the role of historic preservation and heritage in cultural politics, historical interpretation, urban development, & planning & design practice. Graduate Students will undertake additional course requirements.",,044747,10291,1268
ARH 8604,"This class is a field based seminar on methods of analyzing and recording historic buildings, especially vernacular buildings and landscapes. Students will be introduced to intensive building analysis geared to understanding change over time, while learning methods of careful field recording for both documentation and analysis. Graduate students will undertake additional course requirements. Course may include site visits.",,044083,10081,1262
ARH 8618,"Combining seminar discussions, shop exercises and laboratory exercises, this course explores the material culture of architecture from the perspective of materials science. Material culture is the physical stuff that is part of human life, and includes everything humans make and use including materials we use to shape the environment. Graduate course will have additional course requirements.",,046138,10233,1268
ARH 8702,"Public Humanities and Cultural Change introduces undergraduate students to the power of place and story in the shaping of the American imagination. The multi-disciplinary course centers 1) engaging complex pasts, 2) place-based and community-based methodologies, 3) the inherently political nature of public humanities, and 4) impactful public engagement, especially across difference. Graduate version has additional requirements.",,048250,19146,1262
ARH 8994,Preparation and completion of a thesis..,,041459,10222,1268
ARH 8995,Research on topic for Master Thesis.,,002051,10127,1268
ARH 8999,"For Thesis Preparation, taken before a thesis director has been selected.",,002050,10110,1268
ARH 9500,Topical offerings in architectural history.,,039129,,
ARH 9510,Special research topics pursued in a seminar.,,002054,,
ARH 9520,Seminar discussion of special research topics. Past topics have discussed anthropomorphism in Renaissance and Baroque architecture; Alberti's De re Aedificatoria; Renaissance and Baroque buildings in their larger settings; the Rome of Julius II; Renaissance and Baroque classification of Buildings; Renaissance Space; Brunelleschi and Alberti; Renaissance urbanism; Rome and the Renaissance; and the Renaissance palace.,,002056,,
ARH 9530,Special research topics pursued in a seminar.,,002061,,
ARH 9540,Special research topics pursued in a seminar.,,039290,20336,1268
ARH 9550,Special research topics pursued in a seminar.,,039126,,
ARH 9560,Special research topics pursued in a seminar.,,039291,,
ARH 9570,Special research topics pursued in a seminar.,,002067,,
ARH 9580,Special research topics pursued in a seminar.,,002065,,
ARH 9590,Special research topics pursued in a seminar.,,039292,,
ARH 9993,Advanced work on independent research topics by individual students. Departmental approval of the topic is required.,,002066,10097,1262
ARTH 1001T,"Transfer credit or test credit that is not equivalent to current UVA coursework. Contains content related to Artistic, Interpretive, and Philosophical Inquiry.",,047527,,
ARTH 1002T,Transfer credit or test credit that is not equivalent to current UVA coursework. Contains content related to Cultures and Societies of the World.,,047528,,
ARTH 1003T,Transfer credit or test credit that is not equivalent to current UVA coursework. Contains content related to Historical Perspectives.,,047529,,
ARTH 1004,"This course will introduce students to the study of architecture through an examination of selected examples from the history of architecture with a focus on Europe and the United States and buildings relevant to those regions (e.g. the Great Pyramids, the Parthenon, Versailles). Classes will be a combination of lectures and discussions as students are taught the fundamentals of architectural history as well as how to analyze buildings.",,040891,,
ARTH 1004T,Transfer credit or test credit that is not equivalent to current UVA coursework. Contains content related to Social and Economic Systems.,,047530,,
ARTH 1005T,"Transfer credit or test credit that is not equivalent to current UVA coursework. Contains content related to Chemical, Mathematical, and Physical Inquiry",,047531,,
ARTH 1006T,Transfer credit or test credit that is not equivalent to current UVA coursework. Contains content related to Living Systems.,,047532,,
ARTH 1007T,Transfer credit or test credit that is not equivalent to current UVA coursework. Contains content related to Science and Society,,047533,,
ARTH 1051,"A survey of the great monuments of art and architecture from their beginnings in caves through the arts of Egypt, Mesopotamia, Greece and Rome, Byzantium, the Islamic world, and medieval western Europe. The course attempts to make art accessible to students with no background in the subject, and it explains the ways in which painting, sculpture, and architecture are related to mythology, religion, politics, literature, and daily life. The course serves as a visual introduction to the history of the West.",,002427,,
ARTH 1054,"An overview of art from the perspective of both its history and the ways it operates in the world today. Focusing on case studies from different periods and world regions, topics include how art works in museums, in the markets, in the law, in communities and the public sphere. The course addresses also how art relates to the sciences, cultural appropriation, social justice, and offers an overview of art historical methodologies to study it.",,046730,,
ARTH 1153,"Throughout history, artists, philosophers, & scientists have consistently sought to situate themselves within the cosmos & comprehend its heavenly machinery. This course traces the development of scientific, political, spiritual, magical, & intellectual technologies of power that have tied individuals to their views & uses for astronomy. Topics include: stars & rule, astrology, Ptolemy, alchemy, magic, medicine, Galileo, Chesley Bonestell, Remedios Varo, Kambui Olujimi, Star Trek, & Star Wars.",Students may not enroll if they have previously completed ARTH 1503 Topic #1 Art and Astronomy,048325,20455,1268
ARTH 1361,,,048452,,
ARTH 1500,"Introductory Seminars in Art History are small classes for first- and second-year students that emphasize reading, writing, and discussion. While subject varies with the instructor, topics will be selected that allow students to engage broad issues and themes historically and in relationship to contemporary concerns and debates. Subject is announced prior to each registration period. Enrollment is capped at 15.",1st- or 2nd-year,042566,20697,1262
ARTH 1503,"This course will train students to understand and critically evaluate comparative, premodern, global cultures.",,045459,,
ARTH 1505,"This course will train students to understand and critically evaluate comparative, modern global cultures.",,040669,13872,1268
ARTH 1507,This course will train students to understand and evaluate global cultures from a critical and culturally sensitive perspective.,,045465,,
ARTH 1559,This course is an introductory level course in art history on a new topic.,,043045,,
ARTH 1861,"This course introduces the art forms, trade objects, & religions that flourished along the historical Silk Road. Stretching 8000km, the Silk Road is a network of trade routes that provided a bridge between the east & west between the 1st & 14th centuries CE. The Silk Road flourished as a commercial & at times military highway. But more than that, it was a channel for the transmission of ideas, technologies, & artistic styles, with far-reaching impact beyond China & the Mediterranean world.",Students may not enroll if they have previously completed ARTH 1507 Topic #2 Art and the Silk Road,048326,20816,1262
ARTH 2052,"Survey of Egyptian art and architecture (Predynastic-New Kingdom, 4000-1100 BC). The course introduces students to the great monuments and works of art, and to the beliefs that engendered them. While the focus is on pharaonic 'visual' culture, neglected 'others' (women, cross-gendered persons, foreigners, commoners) and their material/visual cultures are brought to attention to provide a nuanced understanding of Egyptian society and culture.",,039561,,
ARTH 2053,"The vase painting, sculpture, architecture, and other arts of the Greeks, from the Bronze Age through the Hellenistic periods. Works are studies in their social, political, and religious contexts with a special focus on archaeology and material culture.",,002453,,
ARTH 2054,"Following an overview of Etruscan art, the course examines the development of Roman architecture, urbanism, sculpture and painting from the Republic to Constantine. A focus is Rome itself, but other archaeological sites, such as Pompeii, in Italy and throughout the empire are also considered. Themes, such as succession, the achievements of the emperor, the political and social role of art, and the dissolution of classical art, are traced.",,002454,12350,1262
ARTH 2055,"Introduces the history, theory, and field techniques of classical archaeology. Major sites of the Bronze Age (Troy, Mycenae) as well as Greek and Roman cities and sanctuaries (e.g., Athens, Olympia, Pompeii) illustrate important themes in Greek and Roman culture and the nature of archaeological data.",,002455,20039,1262
ARTH 2056,"Introduction to the art and archaeology of the prehistoric Aegean, from the Early Bronze Age to the end of the Late Bronze Age (ca. 3000-1200 BCE). Notable sites examined include Troy, Knossos, Mycenae, Thebes, Pylos. The course also examines cultural and artistic connections with New Kingdom Egypt and the Late Bronze Age Levant.",,040811,19242,1262
ARTH 2151,"Discover the spectacular world of Byzantine art and architecture, from glittering mosaics and soaring domes to sacred icons and jeweled masterpieces. This course explores eleven centuries of artistic brilliance, revealing how visionary Byzantine artists and builders fused faith, innovation, and power to create one of history¿s most extraordinary cultural legacies.",,002457,19243,1262
ARTH 2153,"From the Romanesque churches along the Pilgrimage Routes to the new Gothic architecture at St. Denis outside Paris and on to late medieval artistic production in Prague, this course examines profound and visually arresting expressions of medieval piety, devotion, and power made by artists from roughly 1000-1500. Throughout our investigations, particular attention will be paid to the contributions of important medieval women.",,040475,,
ARTH 2252,"Studies the painting, architecture, and sculpture or the sixteenth century, emphasizing the works of major artists, such as Leonardo, Michelangelo, Raphael, Giorgione, and Titian. Detailed discussion of the social, political, and cultural background of the arts.",,002463,,
ARTH 2271,"Surveys major developments in painting and graphics in the fifteenth and sixteenth centuries in the Netherlands and Germany. Includes the rise of Netherlandish naturalism and the origins of woodcut and engraving. Explores the effects of humanist taste on sixteenth-century painting and the iconographic consequences of the Reformation. Emphasizes the work of major artists, such as Van Eyck, Van der Weyden, Dürer, Bosch, and Bruegel.",,002466,,
ARTH 2281,"Studies the painting, sculpture, and architecture of the seventeenth century in Italy, the Low Countries, France, and Spain. Focuses on Caravaggio, Bernini, Velazquez, Rubens, Rembrandt, and Poussin.",,002468,,
ARTH 2282,"A survey of the art of the Dutch and Flemish Golden Age, including such artists as Rubens, Rembrandt, van Dyck, Hals and Vermeer. The course examines innovations in style and new subjects like landscape, still life and daily-life genre in relation to major historical developments, including the revolt of the Netherlands, the rise of the Dutch Republic, and the Counter-Reformation. The course includes a survey of Dutch architecture.",,039562,,
ARTH 2352,"Surveys European painting and sculpture from the last decades of the Ancien Regime to the liberal revolutions of 1848. Major artists, such as David, Canova, Ingres, Constable, Turner, Gericault, Delacroix, Friedrich, Goya, Corot, and Thorvaldsen are examined in their political, economic, social, spiritual, and aesthetic contexts.",,002474,,
ARTH 2354,"This survey of British Art in the modern period examines the work of some of Britain's greatest painters, sculptors, and printmakers including Hogarth, Blake, Flaxman, Turner, the Pre-Raphaelites, Sickert, Bacon, and Freud. Major themes include the relationship of British art to religion, urbanization, empire, industrialization, and post-colonialism.",,040813,,
ARTH 2361,,,041877,,
ARTH 2371,"Surveys modernist movements in European art during the second half of the nineteenth century. Major themes include the establishment of modernity as a cultural ideal, the development of the avant-garde, and the genesis of the concept of abstraction.",,002477,,
ARTH 2372,"Examines the places, spaces, practices and representations of Paris in the nineteenth century. Tracing the changing faces of the city, we will study the modern city through architecture and urban planning, painting, drawing, photography, popular imagery and literature. Topics include Paris 'types'; fashion and birth of the department store; Haussmannization; and the 'spectacular' Paris of the panorama, morgue, Opera, and World's Fairs.",,039560,,
ARTH 2451,"Art in the 20th Century surveys visual art from 1900 to 2000 with an international perspective. Major questions and themes will be tracked across a range of media (sculpture, painting, printmaking, video art, performance art, etc), attending to the social, theoretical, and practical concerns structuring the making and reception of modern and contemporary art.",,002478,12554,1268
